purificateur air	170	1.19	2250	fr	140 170 170 210 170 170 170 170 140 140 170 260
purificateur d air	33100	0.6	2250	fr	27100 40500 49500 40500 33100 40500 33100 40500 33100 40500 33100 27100
purificateur d'air	33100	0.6	2250	fr	27100 40500 49500 40500 33100 40500 33100 40500 33100 40500 33100 27100
air purificateur	170	1.19	2250	fr	140 170 170 210 170 170 170 170 140 140 170 260
purificateur	1000	0.85	2250	fr	720 1000 1600 1300 880 1600 1600 880 880 880 720 1000
épurateur d air	390	0.82	2250	fr	170 480 320 590 480 590 590 480 390 320 260 320
épurateur d'air	390	0.82	2250	fr	170 480 320 590 480 590 590 480 390 320 260 320
épurateur air	170	1.19	2250	fr	140 170 170 210 170 170 170 170 140 140 170 260
purificateur d air hepa	1300	0.73	2250	fr	1000 1600 1000 1600 1000 2400 1600 1000 880 1000 1000 1000
purificateur d air ionique	480	0.37	2250	fr	40 70 140 210 260 880 1600 1900 720 140 70 40
ioniseur	1300	0.84	2250	fr	1000 1600 2900 1000 720 720 720 1000 1000 1000 1000 880
ioniseur d air	1600	0.61	2250	fr	880 1600 2900 1300 880 1000 1600 2400 2900 1600 1000 880
plantes purificateur d air	720	0.17	2250	fr	590 480 390 590 590 720 720 880 1000 880 880 1000
purificateur d air dyson	6600	0.38	2250	fr	5400 9900 14800 9900 5400 6600 4400 6600 5400 6600 5400 5400
purificateur d air philips	1900	0.71	2250	fr	1900 2400 2900 2400 1600 2400 1900 2400 1900 2400 1600 1900
purificateur d air xiaomi	1000	0.22	2250	fr	720 1000 1000 1000 880 1600 1300 1000 880 1000 720 880
filtre hepa purificateur d air	210	0.95	2250	fr	170 260 210 210 170 260 170 210 170 210 210 320
humidificateur purificateur d air	320	0.84	2250	fr	260 170 320 260 210 320 320 590 390 480 320 320
ventilation	9900	0.45	2250	fr	18100 14800 27100 9900 6600 9900 6600 8100 6600 6600 6600 8100
ventilation plafond	246000	0.41	2250	fr	450000 823000 1000000 301000 49500 33100 27100 27100 18100 27100 22200 33100
plafonnier ventilation	33100	0.29	2250	fr	60500 110000 135000 40500 8100 5400 3600 4400 3600 5400 5400 6600
ventilation silencieuse	49500	0.25	2250	fr	40500 90500 301000 110000 6600 2900 1900 1600 1600 2900 2900 4400
ventilation mécanique contrôlée	49500	0.32	2250	fr	40500 40500 49500 49500 40500 49500 60500 74000 60500 74000 60500 60500
vmc	49500	0.32	2250	fr	40500 40500 49500 49500 40500 49500 60500 74000 60500 74000 60500 60500
